callsign,origin,destination,aircraft_type,time,cargo
AAL2676,KCLT,MMCU,A321,09:44,false
AAL346,KIND,KCLT,A321,09:44,false
AAL2021,KCLE,KCLT,B738,09:45,false
JIA5405,KCLT,KSGF,CRJ9,09:45,false
JIA5562,KBTV,KCLT,CRJ9,09:45,false
PDT5863,KCLT,KPGV,E145,09:45,false
AAL1482,KAUS,KCLT,B738,09:46,false
AAL1002,KMSN,KCLT,A321,09:47,false
JIA5679,CYUL,KCLT,CRJ9,09:47,false
JZA746,KCLT,CYYZ,CRJ9,09:47,false
AAL1235,KSYR,KCLT,A321,09:48,false
AAL1444,KJFK,KCLT,B738,09:49,false
AAL2273,KOKC,KCLT,A320,09:49,false
PDT5910,KCLT,KSAV,E145,09:49,false
DAL3174,KCLT,KATL,B712,09:50,false
PDT5972,KMOB,KCLT,E145,09:50,false
AAL875,KCLT,MKJS,A321,09:51,false
ENY4006,KCOU,KCLT,E75L,09:51,false
PDT6072,KFAY,KCLT,E145,09:51,false
RPA3662,KORD,KCLT,E75L,09:51,false
AAL1704,KTPA,KCLT,A321,09:53,false
AAL301,KCLT,MWCR,B738,09:53,false
AAL3085,KMIA,KCLT,B772,09:53,false
JIA5083,KCLT,KBNA,CRJ9,09:54,false
PDT5946,KCLT,KTRI,E145,09:55,false
AAL1729,KTUL,KCLT,B738,09:56,false
AAL1986,KCLT,KPHX,A21N,09:56,false
ASH4063,KIAD,KCLT,E75L,09:56,false
PDT6086,KMLI,KCLT,E145,09:57,false
AAL3080,KCLT,KSYR,B738,09:58,false
JIA5638,KMDT,KCLT,CRJ9,09:58,false
PDT5820,KCLT,KILM,E145,09:58,false
AAL1023,KLGA,KCLT,A320,09:59,false
AAL2866,KMKE,KCLT,A321,09:59,false
JIA5381,KGSP,KCLT,CRJ7,09:59,false
AAL1038,KCLT,KORD,B738,10:00,false
JIA5426,KLFT,KCLT,CRJ9,10:00,false
AAL374,KCLT,KJFK,B738,10:02,false
N750JT,KOMA,KCLT,C750,10:02,false
PDT5828,KLYH,KCLT,E145,10:02,false
AAL712,KSTL,KCLT,B738,10:03,false
AAL823,KCLT,TLPC,A321,10:03,false
EDV5068,KCLT,KLGA,CRJ9,10:04,false
AAL2715,KBOS,KCLT,A321,10:05,false
PDT5852,KOAJ,KCLT,E145,10:05,false
PDT6033,KAVL,KCLT,E145,10:06,false
DAL1639,KCLT,KDTW,B712,10:07,false
JIA5650,KCLT,KVRB,CRJ9,10:07,false
AAL1677,KCLT,KCLE,B738,10:08,false
AAL2415,KRIC,KCLT,A320,10:08,false
PDT6129,KCLT,KFWA,E145,10:08,false
AAL2362,KRDU,KCLT,A321,10:09,false
PDT5898,KCLT,KROA,E145,10:09,false
PDT5947,KTYS,KCLT,E145,10:10,false
AAL2825,KCLT,KDCA,A320,10:12,false
AAL1494,KPHL,KCLT,A320,10:13,false
AAL1944,KCLT,KIND,B738,10:13,false
ENY3563,KCLT,KHXD,E75L,10:13,false
PDT5962,KROA,KCLT,E145,10:14,false
VNT452,KCLT,KORF,C56X,10:14,false
JIA5242,KDAY,KCLT,CRJ9,10:15,false
PDT6042,KCLT,KCAE,E145,10:15,false
AAL2052,KCLT,KMCI,B738,10:16,false
AAL2291,KCLT,KPHL,A321,10:16,false
AAL2316,KCLT,KPNS,A319,10:17,false
AAL874,KCLT,KGGE,B738,10:17,false
AAL1436,KCLT,KMIA,A21N,10:18,false
PDT6068,KCLT,KEWN,E145,10:18,false
AAL3187,TJSJ,KCLT,A321,10:19,false
RPA5626,KCLT,KBOS,E75L,10:19,false
N282WG,KCLT,KIAD,C25C,10:21,false
PDT6050,KCHA,KCLT,E145,10:21,false
AAL2569,KILM,KCLT,B738,10:22,false
PDT6000,KCLT,KTLH,E145,10:22,false
JIA5579,KCLT,KRAP,CRJ9,10:23,false
DAL1827,KMSP,KCLT,BCS1,10:24,false
AAL2110,KCLT,KMEM,B738,10:25,false
AAL2349,KBHM,KCLT,A319,10:25,false
AAL609,KMCO,KCLT,A321,10:25,false
PDT5869,KCLT,KPHF,E145,10:25,false
JIA5058,KCLT,KAVP,CRJ9,10:26,false
JIA5081,KBNA,KCLT,CRJ9,10:27,false
AAL1518,KDCA,KCLT,A320,10:28,false
AAL2432,KCLT,TJCP,A319,10:28,false
EJA279,KCLT,KMVY,E545,10:28,false
PDT5835,KCLT,KMDT,E145,10:28,false
AAL2074,KCLT,KMCO,A321,10:29,false
EJA567,KAHN,KCLT,C68A,10:29,false
VTE3416,KCLT,KPKB,E135,10:29,false
AAL1989,KJAX,KCLT,B738,10:30,false
EDV5052,KCLT,KJFK,CRJ9,10:32,false
PDT6054,KCHO,KCLT,E145,10:32,false
