callsign,origin,destination,aircraft_type,time,cargo
DAL574,KMSP,KSMF,B739,18:45,false
DAL2297,KMSP,KPHX,B739,18:48,false
SKW3925,KMSP,KJAC,E75L,18:50,false
DAL2145,KMSP,KSAN,A321,18:50,false
DAL2809,KMSP,KSFO,A321,18:50,false
DAL2187,KMSP,KMIA,B739,18:53,false
DAL881,KMSP,KSEA,B739,18:55,false
DAL2246,KMSP,KLAS,B753,18:59,false
DAL2122,KMSP,KLAX,B753,18:59,false
SWA3063,KMSP,KDEN,B38M,19:00,false
AAL2148,KMSP,KDFW,B738,19:15,false
SWA4115,KMSP,KMDW,B738,19:15,false
DAL2268,KMSP,KRSW,A321,19:29,false
ICE656,KMSP,BIKF,B38M,19:30,false
DAL2749,KMSP,KAUS,A320,19:45,false
DAL2918,KMSP,KBWI,B739,19:45,false
DAL2309,KMSP,KMCO,B753,19:45,false
EDV5527,KMSP,KTYS,CRJ9,19:45,false
DAL1484,KMSP,KDTW,A320,19:46,false
DAL1032,KMSP,KATL,B752,19:49,false
DAL2967,KMSP,KDFW,A320,19:50,false
SKW4129,KMSP,KIAD,E75L,19:50,false
EDV5253,KMSP,KDSM,CRJ7,19:54,false
SKW3780,KMSP,KFWA,CRJ9,19:54,false
DAL162,KMSP,EHAM,A333,19:55,false
EDV5518,KMSP,KORF,CRJ7,19:55,false
DAL260,KMSP,BIKF,B752,19:58,false
DAL2733,KMSP,KLGA,B739,19:58,false
SKW3886,KMSP,KSBN,CRJ9,19:59,false
ASA532,KMSP,KSEA,B739,19:59,false
DAL2871,KMSP,KBDL,A321,20:00,false
AFR89,KMSP,LFPG,B772,20:00,false
DAL2097,KMSP,KSYR,A319,20:00,false
SKW3866,KMSP,CYYZ,CRJ9,20:02,false
SKW4035,KMSP,KMEM,E75L,20:05,false
DAL3075,KMSP,KPIT,BCS1,20:05,false
EDV5489,KMSP,CYUL,CRJ7,20:05,false
EDV4934,KMSP,KCWA,CRJ9,20:06,false
DAL2614,KMSP,KBOS,B752,20:09,false
SKW4264,KMSP,KABR,CRJ7,20:10,false
SKW3541,KMSP,KICT,CRJ9,20:10,false
DAL2929,KMSP,KCLT,BCS1,20:14,false
DAL1356,KMSP,KCMH,A320,20:15,false
DAL2846,KMSP,KEWR,BCS1,20:15,false
DAL1563,KMSP,KORD,BCS1,20:15,false
EDV5530,KMSP,KRIC,CRJ7,20:16,false
DAL1144,KMSP,KBNA,B739,20:20,false
DAL1469,KMSP,KCVG,A321,20:20,false
DAL298,KMSP,LIRF,A339,20:20,false
SKW4468,KMSP,KMKE,E75L,20:20,false
DAL1051,KMSP,KSLC,A321,20:20,false
DAL2703,KMSP,KPHL,B739,20:25,false
DAL2932,KMSP,KRDU,A321,20:25,false
DAL2961,KMSP,KDCA,A319,20:30,false
SKW4003,KMSP,KGRB,CRJ9,20:30,false
SKW4289,KMSP,KXWA,CRJ7,20:30,false
EDV5070,KMSP,KSDF,CRJ7,20:48,false
DAL1392,KMSP,KCLE,BCS1,20:51,false
SCX429,KMSP,KLAX,B738,20:55,false
DAL1657,KMSP,KMCI,BCS1,21:30,false
SKW4014,KMSP,KOMA,CRJ9,21:30,false
DAL2391,KMSP,KPDX,A21N,21:38,false
SKW3834,KMSP,KBIS,E75L,21:40,false
DAL2488,KMSP,KBOI,A320,21:40,false
EDV5290,KMSP,KCID,CRJ7,21:40,false
DAL1711,KMSP,KGRR,BCS3,21:40,false
DAL674,KMSP,KIND,B739,21:40,false
DAL2089,KMSP,KSFO,B739,21:40,false
EDV4920,KMSP,KATW,CRJ9,21:45,false
SKW4291,KMSP,KBJI,CRJ7,21:45,false
SKW4332,KMSP,KGFK,CRJ7,21:45,false
SKW3714,KMSP,KRAP,CRJ9,21:45,false
DAL2146,KMSP,KSAN,B739,21:47,false
SKW3907,KMSP,KDLH,E75L,21:49,false
DAL164,KMSP,EHAM,A339,21:50,false
SKW4154,KMSP,KMOT,CRJ9,21:50,false
DAL1609,KMSP,KSTL,BCS1,21:50,false
DAL2610,KMSP,KMSO,A320,21:52,false
SKW3656,KMSP,CYWG,E75L,21:54,false
EDV4907,KMSP,KRST,CRJ7,21:55,false
DAL2418,KMSP,KGEG,B739,21:59,false
DAL2103,KMSP,KLAX,A21N,21:59,false
DAL1599,KMSP,KMSN,B739,21:59,false
DAL1694,KMSP,KFSD,A319,22:05,false
DAL505,KMSP,KSEA,B753,22:08,false
DAL411,KMSP,PANC,B752,22:13,false
DAL1705,KMSP,KDEN,A321,22:15,false
FFT1149,KMSP,KDEN,A20N,22:15,false
DAL2941,KMSP,KBIL,A321,22:20,false
DAL2954,KMSP,KBZN,B739,22:23,false
DAL2295,KMSP,KFAR,A321,22:46,false
DAL10,KMSP,EGLL,A339,23:10,false
DAL2359,KPDX,KMSP,A21N,05:49,false
SKW3930,KDLH,KMSP,E75L,06:02,false
EDV4702,KRST,KMSP,CRJ7,06:04,false
DAL2084,KLAX,KMSP,B753,06:07,false
DAL2789,KSFO,KMSP,B739,06:09,false
DAL2237,KFAR,KMSP,A320,06:10,false
SKW3840,KFSD,KMSP,CRJ9,06:14,false
SKW4328,KGFK,KMSP,CRJ7,06:21,false
SKW3914,KBIS,KMSP,E75L,06:31,false
SKW4158,KMOT,KMSP,CRJ9,06:35,false
DAL1357,KCLE,KMSP,BCS1,07:04,false
DAL2752,KCVG,KMSP,A321,07:05,false
DAL1274,KMSN,KMSP,B739,07:08,false
EDV4995,KATW,KMSP,CRJ9,07:17,false
DAL2791,KPHL,KMSP,B739,07:20,false
SKW3864,KOMA,KMSP,CRJ9,07:21,false
SKW4292,KRHI,KMSP,CRJ7,07:31,false
SKW4140,KGRB,KMSP,CRJ9,07:32,false
DAL2913,KGRR,KMSP,BCS3,07:32,false
DAL1193,KDCA,KMSP,A319,07:35,false
SKW4336,KBRD,KMSP,CRJ7,07:40,false
SKW4296,KXWA,KMSP,CRJ7,07:41,false
SKW4238,KABR,KMSP,CRJ7,07:44,false
DAL2538,KRDU,KMSP,A321,07:46,false
DAL2757,KIND,KMSP,B739,07:49,false
SKW4303,KBJI,KMSP,CRJ7,07:50,false
DAL1746,KDTW,KMSP,B752,07:53,false
SKW3996,KIAD,KMSP,E75L,07:53,false
DAL2510,KLGA,KMSP,B739,07:53,false
DAL2872,KBWI,KMSP,B739,07:54,false
DAL1635,KMCI,KMSP,BCS1,07:54,false
SKW4073,CYYZ,KMSP,CRJ9,07:54,false
SKW4460,KMKE,KMSP,CRJ9,07:55,false
SKW3835,KSBN,KMSP,CRJ9,07:55,false
DAL2848,KPIT,KMSP,BCS1,07:56,false
DAL1597,KSTL,KMSP,BCS1,07:56,false
SKW4298,KATY,KMSP,CRJ7,07:57,false
EDV4928,KSDF,KMSP,CRJ7,07:58,false
DAL2491,KCLT,KMSP,BCS1,07:59,false
SKW3702,KFWA,KMSP,CRJ9,07:59,false
SKW4251,KCIU,KMSP,CRJ7,08:01,false
DAL2403,KCMH,KMSP,A320,08:01,false
DAL2303,KBOS,KMSP,A321,08:04,false
EDV5248,KCID,KMSP,CRJ7,08:04,false
