callsign,origin,destination,aircraft_type,time,cargo
VOC4001,KMCO,MROC,A20N,13:55,false
ARE4406,SKBO,KMCO,A320,13:55,false
DAL1362,KMCO,KLGA,A321,13:56,false
UAL2292,KDEN,KMCO,A21N,13:57,false
SWA1645,KMCO,KTYS,B737,14:00,false
SWA4122,KPHL,KMCO,B737,14:00,false
SWA3587,KTUL,KMCO,B737,14:00,false
SWA502,MROC,KMCO,B38M,14:00,false
MXY717,KMCO,KPVD,BCS3,14:01,false
JBU547,KISP,KMCO,A320,14:02,false
UAL2396,KEWR,KMCO,B38M,14:03,false
JBU383,KJFK,KMCO,A320,14:03,false
JBU1923,KDCA,KMCO,BCS3,14:04,false
SWA2626,KBHM,KMCO,B738,14:05,false
DAL1030,KMCO,KATL,A321,14:05,false
UAL2406,KMCO,KIAH,B739,14:06,false
SWA1198,KCMH,KMCO,B737,14:10,false
DAL1312,KMCO,KRDU,A320,14:10,false
AMX441,KMCO,MMMX,B39M,14:11,false
DAL1747,KMCO,KDTW,B752,14:13,false
CMP862,MPTO,KMCO,B738,14:13,false
SWA2648,KMCO,KLAS,B38M,14:15,false
SWA368,KSTL,KMCO,B737,14:15,false
DAL2775,KJFK,KMCO,A21N,14:17,false
FFT1445,KCLT,KMCO,A321,14:18,false
AAL2066,KORD,KMCO,B738,14:20,false
VIV700,MMMY,KMCO,A320,14:20,false
FFT3976,KATL,KMCO,A20N,14:23,false
AAL2081,KMCO,KDFW,A21N,14:24,false
MXY882,KMCO,KPNS,BCS3,14:24,false
FFT362,MHLM,KMCO,A20N,14:24,false
FFT1286,KBNA,KMCO,A21N,14:25,false
JBU598,KMCO,KLGA,A320,14:25,false
SWA1734,KMCO,KMKE,B38M,14:25,false
UAL2481,KMCO,KORD,A21N,14:25,false
SWA4206,KTYS,KMCO,B38M,14:25,false
FFT2511,KEWR,KMCO,A21N,14:26,false
SWA988,KBWI,KMCO,B38M,14:30,false
JBU730,KMCO,TJBQ,A320,14:30,false
DAL1372,KATL,KMCO,A321,14:34,false
SWA2919,KMHT,KMCO,B738,14:35,false
FFT4661,KMCO,KPNS,A21N,14:36,false
AAL1312,KDFW,KMCO,A321,14:37,false
AAL2062,KMCO,KDCA,A320,14:37,false
UAL8109,KMCO,KEWR,B739,14:37,false
AAL2125,KMCO,KPHL,A21N,14:37,false
SWA2566,KMCO,KBNA,B737,14:40,false
SWA4354,KMCO,KROC,B737,14:40,false
CMP479,KMCO,MPTO,B738,14:40,false
SWA2592,TJSJ,KMCO,B738,14:40,false
DAL2564,KLGA,KMCO,A321,14:42,false
UAL1488,KCLE,KMCO,B738,14:43,false
BHS238,KMCO,MYNN,B737,14:45,false
FFT3559,KMCO,KBNA,A20N,14:49,false
SWA1496,KMCO,KDAL,B737,14:50,false
SWA442,KMCO,KSAT,B738,14:50,false
SWA114,KMDW,KMCO,B38M,14:50,false
AVA216,SKBO,KMCO,A320,14:50,false
JBU969,KRIC,KMCO,A320,14:52,false
JBU1778,MDPC,KMCO,A320,14:52,false
FFT1097,TJBQ,KMCO,A20N,14:53,false
AAL3271,KCLT,KMCO,A321,14:55,false
SWA287,KCVG,KMCO,B738,14:55,false
